rank,model_display,model_family,n_samples,accuracy,macro_f1,roc_auc,pr_auc,source_file
1,BERT,text-only,504,0.8492063492063492,0.8489184797185365,0.9164183340428552,0.9195528408304487,normal_split_bert_text_metrics.csv
2,RoBERTa,text-only,504,0.8373015873015873,0.8363714109244097,0.9280702584236002,0.9256732999017284,normal_split_distilbert_roberta_text_metrics.csv
3,TF-IDF LR,text-only,504,0.8253968253968254,0.8243985873335128,0.8993898112672057,0.9044047038833422,normal_split_text_baseline_metrics.csv
4,DistilBERT,text-only,504,0.8174603174603174,0.817319360176503,0.9085820601359128,0.9119382585442986,normal_split_distilbert_roberta_text_metrics.csv
5,Soft voting,ensemble,504,0.8095238095238095,0.8084348225456504,0.9064377276382386,0.9079448801241188,normal_split_voting_metrics.csv
6,Swin-T + TF-IDF fusion,multimodal,504,0.8095238095238095,0.8077803203661327,0.8973716159752771,0.899745987547725,normal_split_clip_swin_metrics.csv
7,CLIP ViT-B/32 fusion,multimodal,504,0.8075396825396826,0.8057031576018918,0.90232250130079,0.9066324177056564,normal_split_clip_swin_metrics.csv
8,Hard voting,ensemble,504,0.8055555555555556,0.8041958041958042,0.8923497784715324,0.8750444476040447,normal_split_voting_metrics.csv
9,Concat CNN+Text s2026,multimodal,504,0.8015873015873016,0.8008818091309913,0.8857985273481229,0.887811450121766,normal_split_deep_model_metrics.csv
10,ResNet50 fusion s123,multimodal,504,0.7996031746031746,0.7979927854566236,0.8743515759267143,0.8790851555888152,normal_split_deep_model_metrics.csv
11,Concat CNN+Text s42,multimodal,504,0.7936507936507936,0.7936475442105098,0.8711193100294844,0.874451741869072,normal_split_deep_model_metrics.csv
12,Consistency CNN+Text s123,multimodal,504,0.7936507936507936,0.7924710577577879,0.8659003831417625,0.8685502265600182,normal_split_deep_model_metrics.csv
13,Concat CNN+Text s123,multimodal,504,0.7936507936507936,0.7924710577577879,0.871324282988821,0.8752547502448973,normal_split_deep_model_metrics.csv
14,Consistency CNN+Text s2026,multimodal,504,0.7916666666666666,0.7908755013732193,0.8788767481828358,0.8806041341622519,normal_split_deep_model_metrics.csv
15,ResNet50 fusion s2026,multimodal,504,0.7896825396825397,0.7882117882117883,0.8761017296564338,0.8752204317257801,normal_split_deep_model_metrics.csv
16,ConvNeXt-Tiny fusion s123,multimodal,504,0.7837301587301587,0.7836270899387542,0.8784825694148811,0.8819211953791293,normal_split_deep_model_metrics.csv
17,ConvNeXt-Tiny fusion s42,multimodal,504,0.7837301587301587,0.7834223650233585,0.8717499960582124,0.875729810040988,normal_split_deep_model_metrics.csv
18,Consistency CNN+Text s42,multimodal,504,0.7817460317460317,0.7807482401328798,0.869447992053356,0.8698543950199916,normal_split_deep_model_metrics.csv
19,ResNet50 fusion s42,multimodal,504,0.7797619047619048,0.7790303149995063,0.8650016555508254,0.8698025651975643,normal_split_deep_model_metrics.csv
20,ConvNeXt-Tiny fusion s2026,multimodal,504,0.7777777777777778,0.7757437070938216,0.8695898964098197,0.8788838412930082,normal_split_deep_model_metrics.csv
21,OCR+BLIP+BERT+ResNet50 MLP,multimodal,504,0.7261904761904762,0.724938701257613,0.7784242309572238,0.7485843744033213,normal_split_rich_cached_mlp_metrics.csv
22,Image-only CNN s123,image-only,504,0.6011904761904762,0.6009249666137477,0.6369692382889488,0.604964550141337,normal_split_deep_model_metrics.csv
23,Image-only CNN s2026,image-only,504,0.5634920634920635,0.5522098733522874,0.6122148116613847,0.5851906279530152,normal_split_deep_model_metrics.csv
24,Image-only CNN s42,image-only,504,0.5595238095238095,0.5518385003604902,0.6051038266874793,0.5874447720043849,normal_split_deep_model_metrics.csv
25,Majority,majority,504,0.5178571428571429,0.3411764705882353,0.5,0.4821428571428571,normal_split_text_baseline_metrics.csv
