rank,base_model,model_family,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,pr_auc_mean
1,BERT,text-only,1,0.8492063492063492,,0.8489184797185365,,0.9164183340428552,0.9195528408304487
2,RoBERTa,text-only,1,0.8373015873015873,,0.8363714109244097,,0.9280702584236002,0.9256732999017284
3,TF-IDF LR,text-only,1,0.8253968253968254,,0.8243985873335128,,0.8993898112672057,0.9044047038833422
4,DistilBERT,text-only,1,0.8174603174603174,,0.817319360176503,,0.9085820601359128,0.9119382585442986
5,Soft voting,ensemble,1,0.8095238095238095,,0.8084348225456504,,0.9064377276382386,0.9079448801241188
6,Swin-T + TF-IDF fusion,multimodal,1,0.8095238095238095,,0.8077803203661327,,0.8973716159752771,0.899745987547725
7,CLIP ViT-B/32 fusion,multimodal,1,0.8075396825396826,,0.8057031576018918,,0.90232250130079,0.9066324177056564
8,Hard voting,ensemble,1,0.8055555555555556,,0.8041958041958042,,0.8923497784715324,0.8750444476040447
9,Concat CNN+Text,multimodal,3,0.7962962962962963,0.004582144993568539,0.795666803699763,0.004554474868650043,0.8760807067888093,0.8791726474119118
10,ResNet50 fusion,multimodal,3,0.7896825396825397,0.009920634920634996,0.7884116295559727,0.009482814660289178,0.8718183203779911,0.8747027175040532
11,Consistency CNN+Text,multimodal,3,0.7890211640211641,0.006378075900127577,0.7880315997546289,0.006357825538568938,0.8714083744593181,0.8730029185807539
12,ConvNeXt-Tiny fusion,multimodal,3,0.7817460317460317,0.0034366087451763315,0.7809310540186448,0.004493540270388234,0.8732741539609711,0.8788449489043751
13,OCR+BLIP+BERT+ResNet50 MLP,multimodal,1,0.7261904761904762,,0.724938701257613,,0.7784242309572238,0.7485843744033213
14,Image-only CNN,image-only,3,0.5747354497354498,0.02299647969671119,0.5683244467755085,0.028233488976166777,0.6180959588792709,0.5925333166995791
15,Majority,majority,1,0.5178571428571429,,0.3411764705882353,,0.5,0.4821428571428571
